Invoice Date,Year,Month_Number,Month_Name,Region,State,City,Category,Subcategory,Product,Price per Unit,Units Sold,Total Sales,Profit per Unit,Operating Margin,Total Operating Profit,Year-Month
2021-09-09,2021,9,Sep,Midwest,Ohio,Columbus,Apparel,Women's,Women's Apparel,40.00000000000001,550,22000,20.0,0.5,11000.0,2021-09
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Street Footwear,Men's,Men's Street Footwear,40.00000000000001,725,29000,16.0,0.4,11600.0,2021-10
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Athletic Footwear,Men's,Men's Athletic Footwear,30.00000000000001,550,16500,10.5,0.35,5775.0,2021-10
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Street Footwear,Women's,Women's Street Footwear,30.00000000000001,425,12750,12.0,0.4,5100.0,2021-10
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Athletic Footwear,Women's,Women's Athletic Footwear,30.00000000000001,400,12000,12.0,0.4,4800.0,2021-10
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Apparel,Men's,Men's Apparel,40.00000000000001,400,16000,14.0,0.35,5600.0,2021-10
2021-10-11,2021,10,Oct,Midwest,Ohio,Columbus,Apparel,Women's,Women's Apparel,40.0,525,21000,20.0,0.5,10500.0,2021-10
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Street Footwear,Men's,Men's Street Footwear,35.00000000000001,675,23625,14.0,0.4,9450.0,2021-11
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Athletic Footwear,Men's,Men's Athletic Footwear,25.00000000000001,500,12500,8.75,0.35,4375.0,2021-11
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Street Footwear,Women's,Women's Street Footwear,35.000000000000014,445,15575,14.0,0.4,6230.0,2021-11
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Athletic Footwear,Women's,Women's Athletic Footwear,65.00000000000003,500,32500,26.0,0.4,13000.0,2021-11
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Apparel,Men's,Men's Apparel,80.00000000000001,475,38000,28.0,0.35,13300.0,2021-11
2021-11-10,2021,11,Nov,Midwest,Ohio,Columbus,Apparel,Women's,Women's Apparel,80.0,575,46000,40.0,0.5,23000.0,2021-11
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Street Footwear,Men's,Men's Street Footwear,75.00000000000001,825,61875,30.0,0.4,24750.0,2021-12
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Athletic Footwear,Men's,Men's Athletic Footwear,65.00000000000001,625,40625,22.75,0.35,14218.75,2021-12
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Street Footwear,Women's,Women's Street Footwear,65.00000000000001,575,37375,26.0,0.4,14950.0,2021-12
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Athletic Footwear,Women's,Women's Athletic Footwear,65.00000000000001,525,34125,26.0,0.4,13650.0,2021-12
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Apparel,Men's,Men's Apparel,75.00000000000001,525,39375,26.25,0.35,13781.25,2021-12
2021-12-09,2021,12,Dec,Midwest,Ohio,Columbus,Apparel,Women's,Women's Apparel,80.0,625,50000,40.0,0.5,25000.0,2021-12
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Street Footwear,Men's,Men's Street Footwear,40.0,500,20000,16.0,0.4,8000.0,2021-01
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,300,12000,14.0,0.35,4200.0,2021-01
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Street Footwear,Women's,Women's Street Footwear,30.000000000000004,300,9000,12.0,0.4,3600.0,2021-01
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,150,5250,14.0,0.4,2100.0,2021-01
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Apparel,Men's,Men's Apparel,49.99999999999999,200,9999,17.49825,0.35,3499.6499999999996,2021-01
2021-01-22,2021,1,Jan,Midwest,Ohio,Columbus,Apparel,Women's,Women's Apparel,40.0,300,12000,16.0,0.4,4800.0,2021-01
2021-02-22,2021,2,Feb,Midwest,Ohio,Columbus,Street Footwear,Men's,Men's Street Footwear,40.0,550,22000,16.0,0.4,8800.0,2021-02
2021-02-22,2021,2,Feb,Midwest,Ohio,Columbus,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,200,8000,14.0,0.35,2800.0,2021-02
2021-02-22,2021,2,Feb,Midwest,Ohio,Columbus,Street Footwear,Women's,Women's Street Footwear,30.000000000000004,250,7500,12.0,0.4,3000.0,2021-02
2021-02-22,2021,2,Feb,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,125,4375,14.0,0.4,1750.0,2021-02
2021-02-22,2021,2,Feb,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,49.99999999999999,200,9999,17.49825,0.35,3499.6499999999996,2021-02
2021-02-22,2021,2,Feb,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,40.0,300,12000,16.0,0.4,4800.0,2021-02
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,45.0,520,23400,18.0,0.4,9360.0,2021-03
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,225,10125,15.75,0.35,3543.75,2021-03
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,35.0,250,8750,14.0,0.4,3500.0,2021-03
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,100,4000,16.0,0.4,1600.0,2021-03
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,54.99999999999999,150,8249,19.247666666666664,0.35,2887.1499999999996,2021-03
2021-03-21,2021,3,Mar,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,45.0,250,11250,18.0,0.4,4500.0,2021-03
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,45.0,475,21375,18.0,0.4,8550.0,2021-04
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,175,7875,15.75,0.35,2756.25,2021-04
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,40.0,175,7000,16.0,0.4,2800.0,2021-04
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,100,4500,18.0,0.4,1800.0,2021-04
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,50.0,125,6250,17.5,0.35,2187.5,2021-04
2021-04-22,2021,4,Apr,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,40.0,250,10000,16.0,0.4,4000.0,2021-04
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,50.0,520,26000,20.0,0.4,10400.0,2021-05
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.00000000000001,225,10125,15.75,0.35,3543.75,2021-05
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,40.0,200,8000,16.0,0.4,3200.0,2021-05
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,125,5000,16.0,0.4,2000.0,2021-05
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,50.0,150,7500,17.5,0.35,2625.0,2021-05
2021-05-23,2021,5,May,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,55.00000000000001,275,15125,22.0,0.4,6050.0,2021-05
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,40.0,525,21000,16.0,0.4,8400.0,2021-06
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,35.00000000000001,275,9625,12.25,0.35,3368.75,2021-06
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,30.000000000000004,225,6750,12.0,0.4,2700.0,2021-06
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,30.000000000000004,200,6000,12.0,0.4,2400.0,2021-06
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,50.0,200,10000,17.5,0.35,3500.0,2021-06
2021-06-22,2021,6,Jun,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,55.00000000000001,375,20625,22.0,0.4,8250.0,2021-06
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,50.0,600,30000,20.0,0.4,12000.0,2021-07
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.00000000000001,350,15750,15.75,0.35,5512.5,2021-07
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,40.0,275,11000,16.0,0.4,4400.0,2021-07
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,225,9000,16.0,0.4,3600.0,2021-07
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,50.0,250,12500,17.5,0.35,4375.0,2021-07
2021-07-21,2021,7,Jul,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,55.00000000000001,425,23375,22.0,0.4,9350.0,2021-07
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,50.0,575,28750,20.0,0.4,11500.0,2021-08
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.00000000000001,350,15750,15.75,0.35,5512.5,2021-08
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,40.0,275,11000,16.0,0.4,4400.0,2021-08
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,250,10000,16.0,0.4,4000.0,2021-08
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,50.0,225,11250,17.499999999999996,0.35,3937.4999999999995,2021-08
2021-08-22,2021,8,Aug,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,55.00000000000001,400,22000,22.0,0.4,8800.0,2021-08
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,50.0,525,26250,20.0,0.4,10500.0,2021-09
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.00000000000001,325,14625,15.75,0.35,5118.75,2021-09
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,35.0,225,7875,14.0,0.4,3150.0,2021-09
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,200,7000,14.0,0.4,2800.0,2021-09
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,45.0,200,9000,15.75,0.35,3150.0,2021-09
2021-09-23,2021,9,Sep,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,50.0,275,13750,20.0,0.4,5500.0,2021-09
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,54.99999999999999,450,24749,21.999111111111112,0.4,9899.6,2021-10
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,275,12375,15.75,0.35,4331.25,2021-10
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,45.0,175,7875,18.0,0.4,3150.0,2021-10
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,150,6750,18.0,0.4,2700.0,2021-10
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,54.99999999999999,150,8249,19.247666666666664,0.35,2887.1499999999996,2021-10
2021-10-22,2021,10,Oct,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,54.99999999999999,275,15124,21.998545454545457,0.4,6049.6,2021-10
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,50.0,425,21250,20.0,0.4,8500.0,2021-11
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,275,11000,13.999999999999998,0.35,3849.9999999999995,2021-11
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,45.0,220,9900,18.0,0.4,3960.0,2021-11
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,55.00000000000001,200,11000,22.0,0.4,4400.0,2021-11
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,65.0,175,11375,22.749999999999996,0.35,3981.2499999999995,2021-11
2021-11-22,2021,11,Nov,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,70.0,275,19250,28.0,0.4,7700.0,2021-11
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,65.0,525,34125,26.0,0.4,13650.0,2021-12
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,325,17875,19.25,0.35,6256.25,2021-12
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,55.00000000000001,275,15125,22.0,0.4,6050.0,2021-12
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,225,11250,20.0,0.4,4500.0,2021-12
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,60.0,225,13500,21.0,0.35,4725.0,2021-12
2021-12-21,2021,12,Dec,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,64.99999999999999,325,21124,25.99876923076923,0.4,8449.6,2021-12
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,30.000000000000004,725,21750,12.0,0.4,8700.0,2021-01
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,30.000000000000004,525,15750,10.5,0.35,5512.5,2021-01
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,20.000000000000007,525,10500,8.0,0.4,4200.0,2021-01
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Athletic Footwear,Women's,Women's Athletic Footwear,25.0,375,9375,10.0,0.4,3750.0,2021-01
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Apparel,Men's,Men's Apparel,40.0,425,17000,14.0,0.35,5950.0,2021-01
2021-01-20,2021,1,Jan,Southeast,Kentucky,Louisville,Apparel,Women's,Women's Apparel,30.000000000000004,525,15750,15.0,0.5,7875.0,2021-01
2021-02-18,2021,2,Feb,Southeast,Kentucky,Louisville,Street Footwear,Men's,Men's Street Footwear,30.000000000000004,775,23250,12.0,0.4,9300.0,2021-02
2021-02-18,2021,2,Feb,Southeast,Kentucky,Louisville,Athletic Footwear,Men's,Men's Athletic Footwear,30.000000000000004,425,12750,10.5,0.35,4462.5,2021-02
2021-02-18,2021,2,Feb,Southeast,Kentucky,Louisville,Street Footwear,Women's,Women's Street Footwear,20.000000000000007,475,9500,8.0,0.4,3800.0,2021-02
2021-02-18,2021,2,Feb,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,25.0,325,8125,10.0,0.4,3250.0,2021-02
2021-02-18,2021,2,Feb,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,40.0,400,16000,14.0,0.35,5600.0,2021-02
2021-02-18,2021,2,Feb,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,25.0,500,12500,12.5,0.5,6250.0,2021-02
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,25.0,720,18000,10.0,0.4,7200.0,2021-03
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,25.0,400,10000,8.75,0.35,3500.0,2021-03
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,15.000000000000002,425,6375,6.0,0.4,2550.0,2021-03
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,19.999999999999996,275,5499,7.998545454545455,0.4,2199.6,2021-03
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,35.00000000000001,325,11375,12.249999999999998,0.35,3981.2499999999995,2021-03
2021-03-16,2021,3,Mar,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,25.0,425,10625,12.5,0.5,5312.5,2021-03
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,25.0,675,16875,10.0,0.4,6750.0,2021-04
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,25.0,375,9375,8.75,0.35,3281.25,2021-04
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,15.000000000000002,375,5625,6.0,0.4,2250.0,2021-04
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,19.999999999999996,300,5999,7.998666666666666,0.4,2399.6,2021-04
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,40.0,325,13000,14.0,0.35,4550.0,2021-04
2021-04-17,2021,4,Apr,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,30.000000000000004,475,14250,15.0,0.5,7125.0,2021-04
2021-05-16,2021,5,May,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,40.0,745,29800,16.0,0.4,11920.0,2021-05
2021-05-16,2021,5,May,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,450,18000,14.0,0.35,6300.0,2021-05
2021-05-16,2021,5,May,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,35.0,425,14875,14.0,0.4,5950.0,2021-05
2021-05-16,2021,5,May,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,375,13125,14.0,0.4,5250.0,2021-05
2021-05-16,2021,5,May,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,44.99999999999999,400,17999,15.749125,0.35,6299.65,2021-05
2021-05-16,2021,5,May,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,49.99999999999999,500,24999,24.999,0.5,12499.5,2021-05
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,44.99999999999999,750,33749,17.999466666666667,0.4,13499.6,2021-06
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,500,20000,14.0,0.35,7000.0,2021-06
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,45.0,475,21375,18.0,0.4,8550.0,2021-06
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,450,20250,18.0,0.4,8100.0,2021-06
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,60.0,450,27000,21.0,0.35,9450.0,2021-06
2021-06-18,2021,6,Jun,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,65.0,625,40625,32.5,0.5,20312.5,2021-06
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,60.0,850,51000,24.0,0.4,20400.0,2021-07
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,600,33000,19.25,0.35,11550.0,2021-07
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,50.0,525,26250,20.0,0.4,10500.0,2021-07
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,475,23750,20.0,0.4,9500.0,2021-07
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,60.0,500,30000,21.0,0.35,10500.0,2021-07
2021-07-16,2021,7,Jul,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,65.0,675,43875,32.5,0.5,21937.5,2021-07
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,60.0,825,49500,24.0,0.4,19800.0,2021-08
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,600,33000,19.25,0.35,11550.0,2021-08
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,50.0,525,26250,20.0,0.4,10500.0,2021-08
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,475,19000,16.0,0.4,7600.0,2021-08
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,50.0,450,22500,17.499999999999996,0.35,7874.999999999999,2021-08
2021-08-17,2021,8,Aug,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,55.00000000000001,625,34375,27.5,0.5,17187.5,2021-08
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,50.0,725,36250,20.0,0.4,14500.0,2021-09
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,45.000000000000014,525,23625,15.75,0.35,8268.75,2021-09
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,20.000000000000007,425,8500,8.0,0.4,3400.0,2021-09
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,20.000000000000007,400,8000,8.0,0.4,3200.0,2021-09
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,30.000000000000004,400,12000,10.5,0.35,4200.0,2021-09
2021-09-16,2021,9,Sep,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,35.00000000000001,500,17500,17.5,0.5,8750.0,2021-09
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,35.00000000000001,675,23625,14.0,0.4,9450.0,2021-10
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,25.00000000000001,500,12500,8.75,0.35,4375.0,2021-10
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,25.00000000000001,375,9375,10.0,0.4,3750.0,2021-10
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,25.00000000000001,350,8750,10.0,0.4,3500.0,2021-10
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,35.00000000000001,350,12250,12.25,0.35,4287.5,2021-10
2021-10-18,2021,10,Oct,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,35.0,475,16625,17.5,0.5,8312.5,2021-10
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,30.00000000000001,625,18750,12.0,0.4,7500.0,2021-11
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,20.00000000000001,450,9000,7.0,0.35,3150.0,2021-11
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,30.000000000000014,395,11850,12.0,0.4,4740.0,2021-11
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,60.00000000000002,450,27000,24.0,0.4,10800.0,2021-11
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,75.00000000000001,425,31875,26.25,0.35,11156.25,2021-11
2021-11-17,2021,11,Nov,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,75.0,525,39375,37.5,0.5,19687.5,2021-11
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,70.0,775,54250,28.0,0.4,21700.0,2021-12
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,60.00000000000001,575,34500,21.0,0.35,12075.0,2021-12
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,60.00000000000001,525,31500,24.0,0.4,12600.0,2021-12
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,60.00000000000001,475,28500,24.0,0.4,11400.0,2021-12
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,70.0,475,33250,24.5,0.35,11637.5,2021-12
2021-12-16,2021,12,Dec,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,75.0,575,43125,37.5,0.5,21562.5,2021-12
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,25.000000000000007,650,16250,10.0,0.4,6500.0,2021-01
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,25.000000000000007,450,11250,8.749999999999998,0.35,3937.4999999999995,2021-01
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Street Footwear,Women's,Women's Street Footwear,15.000000000000007,450,6750,6.0,0.4,2700.0,2021-01
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Athletic Footwear,Women's,Women's Athletic Footwear,20.0,300,6000,8.0,0.4,2400.0,2021-01
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Apparel,Men's,Men's Apparel,35.0,350,12250,12.25,0.35,4287.5,2021-01
2021-01-23,2021,1,Jan,South,Mississippi,Jackson,Apparel,Women's,Women's Apparel,25.000000000000007,450,11250,10.0,0.4,4500.0,2021-01
2021-02-21,2021,2,Feb,South,Mississippi,Jackson,Street Footwear,Men's,Men's Street Footwear,25.000000000000007,700,17500,10.0,0.4,7000.0,2021-02
2021-02-21,2021,2,Feb,South,Mississippi,Jackson,Athletic Footwear,Men's,Men's Athletic Footwear,25.000000000000007,350,8750,8.75,0.35,3062.5,2021-02
